user_id,tConst,prob,z_score,new_prob,rating,,,,,
0,tt0014171,0.545139667,-0.584696063,0.365519906,5,,,,0,0
30,tt0014171,0.580402626,-0.199688997,0.454071531,5,,,,0.5,1
78,tt0014171,0.684272529,0.934380534,0.714907523,5,,,,1,1.5
149,tt0014171,0.612734285,0.153313637,0.535262137,5,,,,,
0,tt0015311,0.618544967,0.216755669,0.549853804,5.4,,,,,
0,tt0016642,0.54656415,-0.569143313,0.369097038,7,,,,,
31,tt0016642,0.442008735,-1.71069737,0.106539605,7,,,,,
0,tt0017199,0.532174517,-0.726251808,0.332962084,7.4,,,,,
205,tt0017199,0.619652449,0.228847348,0.55263489,7.4,,,,,
0,tt0019505,0.536468921,-0.679364767,0.343746104,1.7,,,,,
0,tt0019952,0.549279471,-0.539496973,0.375915696,6.9,,,,,
6,tt0019952,0.449426911,-1.629704452,0.125167976,6.9,,,,,
0,tt0020470,0.660434846,0.6741166,0.655046818,7.2,,,,,
97,tt0020470,0.620984927,0.243395572,0.555980982,7.2,,,,,
0,tt0020590,0.62917583,0.332825268,0.576549812,6.4,,,,,
31,tt0020590,0.573848447,-0.271248655,0.437612809,6.4,,,,,
272,tt0020590,0.715606245,1.276487454,0.793592114,6.4,,,,,
0,tt0021572,0.636917242,0.417347334,0.595989887,6.9,,,,,
54,tt0021572,0.562715096,-0.392804492,0.409654967,6.9,,,,,
200,tt0021572,0.676037061,0.844464267,0.694226781,6.9,,,,,
0,tt0021836,0.564103586,-0.377644718,0.413141715,7.2,,,,,
84,tt0021836,0.702200692,1.130123312,0.759928362,7.2,,,,,
0,tt0022551,0.660434846,0.6741166,0.655046818,6.1,,,,,
0,tt0028603,0.549279471,-0.539496973,0.375915696,6.1,,,,,
0,tt0029109,0.604455286,0.062922099,0.514472083,5.7,,,,,
0,tt0030681,0.522518887,-0.831673643,0.308715062,7.1,,,,,
267,tt0030681,0.403733501,-2.128592982,0.010423614,7.1,,,,,
0,tt0031765,0.672994716,0.811247421,0.686586907,6.9,,,,,
0,tt0032191,0.635733712,0.404425355,0.593017832,5.6,,,,,
0,tt0032763,0.569462931,-0.319130474,0.426599991,5.3,,,,,
224,tt0032763,0.685249591,0.945048261,0.7173611,5.3,,,,,
0,tt0033119,0.672994716,0.811247421,0.686586907,6.2,,,,,
0,tt0033493,0.549279471,-0.539496973,0.375915696,6,,,,,
260,tt0033493,0.670167817,0.780382857,0.679488057,6,,,,,
0,tt0033608,0.528087989,-0.770869221,0.322700079,6.6,,,,,
0,tt0035738,0.631756301,0.36099929,0.583029837,6.4,,,,,
107,tt0035738,0.816443823,2.37744953,1,6.4,,,,,
0,tt0035752,0.555837353,-0.467896885,0.392383716,6.8,,,,,
184,tt0035752,0.607497154,0.096133739,0.52211076,6.8,,,,,
0,tt0038039,0.510125472,-0.966987088,0.27759297,7.2,,,,,
0,tt0039051,0.549279471,-0.539496973,0.375915696,6.7,,,,,
0,tt0039501,0.624669059,0.283619557,0.565232498,6.6,,,,,
0,tt0040553,0.601291349,0.028377685,0.506526868,6.8,,,,,
0,tt0041257,0.62917583,0.332825268,0.576549812,7.2,,,,,
5,tt0041257,0.597850712,-0.009187782,0.49788681,7.2,,,,,
0,tt0042028,0.70907219,1.205147508,0.777183927,6.4,,,,,
85,tt0042028,0.766889074,1.836402232,0.922372513,6.4,,,,,
0,tt0043731,0.549279471,-0.539496973,0.375915696,4.7,,,,,
96,tt0043731,0.599601922,0.009932239,0.502284415,4.7,,,,,
0,tt0043809,0.608378591,0.105757418,0.524324206,7.7,,,,,
41,tt0043809,0.630613154,0.348518212,0.580159189,7.7,,,,,
0,tt0044201,0.654182147,0.605848552,0.639345167,3.8,,,,,
0,tt0044674,0.549279471,-0.539496973,0.375915696,5.6,,,,,
0,tt0044781,0.70907219,1.205147508,0.777183927,6.3,,,,,
0,tt0045821,0.597152895,-0.016806663,0.496134468,6.4,,,,,
121,tt0045821,0.569359308,-0.320261847,0.426339775,6.4,,,,,
223,tt0045821,0.675614413,0.839849731,0.693165438,6.4,,,,,
271,tt0045821,0.493296459,-1.150729153,0.235332295,6.4,,,,,
287,tt0045821,0.544278968,-0.59409332,0.363358536,6.4,,,,,
0,tt0045846,0.553139799,-0.497349245,0.385609674,6,,,,,
54,tt0045846,0.590357731,-0.090997435,0.47907059,6,,,,,
128,tt0045846,0.498205211,-1.097134553,0.247659053,6,,,,,
224,tt0045846,0.68104611,0.899153932,0.706805404,6,,,,,
0,tt0045919,0.555837353,-0.467896885,0.392383716,6.9,,,,,
0,tt0046572,0.62917583,0.332825268,0.576549812,7.2,,,,,
82,tt0046572,0.734418337,1.481881116,0.840832657,7.2,,,,,
0,tt0047063,0.549279471,-0.539496973,0.375915696,6,,,,,
62,tt0047063,0.745100669,1.598512659,0.867657912,6,,,,,
71,tt0047063,0.564116204,-0.377506961,0.413173399,6,,,,,
126,tt0047063,0.52615774,-0.791944012,0.317852877,6,,,,,
0,tt0049401,0.627937259,0.319302337,0.573439537,7.1,,,,,
159,tt0049401,0.701995807,1.127886335,0.759413857,7.1,,,,,
0,tt0049471,0.507520122,-0.995432746,0.271050468,7.4,,,,,
0,tt0049647,0.516089563,-0.901870115,0.292569873,5.5,,,,,
