compositionId,recipeId,quantity,unit,ingredientId
271,59,1.5,oz,222
272,59,1.5,oz,1016
273,59,1,splash,855
274,60,1,oz,808
275,60,1,oz,781
276,60,1,oz,1137
277,60,2,dash,412
278,60,3,oz,966
279,61,1,oz,1208
280,61,4,oz,313
281,62,1.5,oz,398
282,62,1,oz,207
283,62,.75,oz,311
284,62,.75,oz,646
285,62,.25,oz,752
286,62,3,,159
287,62,8,,958
288,62,1,,514
289,63,1.5,oz,98
290,63,.25,oz,311
291,63,3,oz,232
292,64,1,oz,1000
293,64,1,oz,521
294,64,.5,oz,162
295,64,.5,oz,741
296,65,1.5,oz,984
297,65,1,oz,441
298,65,.25,oz,292
299,65,.25,oz,155
300,65,,,353
301,66,1.5,oz,547
302,66,.25,oz,476
303,66,.5,oz,446
304,66,.75,oz,410
305,66,2,oz,113
306,66,.5,oz,600
307,66,.5,oz,340
308,67,2,oz,785
309,67,2,oz,872
310,67,1,oz,1076
311,67,1,dash,504
312,68,1,cube,258
313,68,,,756
314,68,.75,oz,550
315,68,,,139
316,69,2,oz,642
317,69,2,oz,24
318,69,3,oz,241
319,69,2,oz,340
320,69,1,oz,399
321,69,2,oz,397
322,70,1.5,oz,79
323,70,.75,oz,625
324,70,.75,oz,1087
325,70,2,dash,108
326,70,4,drops,335
327,70,2.5,oz,386
328,71,1,oz,494
329,71,1,oz,615
330,71,1,oz,275
331,71,2,dash,1151
332,71,1,dash,152
333,72,.75,oz,79
334,72,1,oz,494
335,72,.75,oz,521
336,72,.5,oz,157
337,72,2,dash,1068
338,73,5,oz,24
339,73,4,oz,162
340,73,3.5,oz,827
341,73,3.5,oz,155
342,74,1.5,oz,291
343,74,.5,oz,1076
344,74,1,oz,832
345,74,.5,oz,397
346,74,2,oz,637
347,74,1,,114
348,75,2,part,653
349,75,.5,part,946
350,75,.25,part,217
351,75,.5,part,311
352,75,1.5,part,923
353,76,,,1192
354,76,,,120
355,76,,,80
356,76,,,963
357,76,,,355
358,77,1,oz,79
359,77,1,oz,269
360,77,1,oz,653
361,77,.5,oz,769
362,78,1,oz,1076
363,78,1.5,oz,843
364,78,1.5,oz,805
365,79,7,oz,550
366,79,1,oz,978
367,79,7,oz,67
368,79,2,,827
369,79,,,758
370,80,1.5,oz,151
371,80,.75,oz,233
372,80,,,215
373,80,.75,oz,1208
374,80,1,oz,776
375,81,.75,oz,79
376,81,.75,oz,977
377,81,.75,oz,172
378,81,2,dash,976
379,81,4,drops,506
380,82,1.25,oz,984
381,82,.25,oz,1076
382,82,.5,oz,967
383,82,.25,oz,164
384,82,3-4,drops,821
385,82,4,oz,22
386,83,2,oz,398
387,83,.25,oz,656
388,83,1,bsp,1078
389,83,2,dash,1151
390,84,2,oz,1002
391,84,.75,oz,279
392,84,.5,oz,21
393,84,.25,oz,48
394,84,2,dash,713
395,85,1.5,oz,387
396,85,1.5,oz,686
397,85,.5,oz,26
398,85,.25,oz,397
399,86,35,ml,1076
400,86,125,ml,605
401,87,2,oz,370
402,87,2,oz,694
403,87,2,oz,112
404,88,2,oz,770
405,88,.5,oz,128
406,88,2,dashes,529
407,88,.25,oz,646
408,89,2,oz,770
409,89,.25,oz,263
410,89,2,dash,1069
411,89,2,dash,1105
412,90,2,oz,1002
413,90,10,ml,587
414,90,10,ml,484
415,91,.5,oz,1078
416,91,.5,oz,980
417,91,3,oz,125
418,92,2,oz,403
419,92,3,oz,313
420,92,1,splash,202
421,93,1,oz,79
422,93,1,oz,984
423,93,2,oz,469
424,93,1,dash,1078
425,94,1,oz,1175
426,94,1,scoop,527
427,94,,,854
428,95,1,oz,653
429,95,1,oz,624
430,95,1,oz,1199
431,96,1,oz,1007
432,96,1,oz,1076
433,96,.5,oz,1010
434,96,.75,oz,166
435,96,,,1181
436,96,1,dash,713
437,97,1,oz,398
438,97,.5,oz,494
439,97,.75,oz,224
440,97,.5,oz,588
441,97,1,dash,1151
442,98,1,oz,361
443,98,.67,oz,1076
444,98,.5,oz,967
445,98,3,oz,1209
446,98,.5,oz,102
447,99,1.5,oz,844
448,99,.75,oz,279
449,99,.75,oz,1124
450,99,2,dash,491
451,100,.75,oz,550
452,100,.75,oz,1078
453,100,.75,oz,2
454,100,.5,oz,340
455,100,.5,oz,832
456,101,2,oz,398
457,101,.5,oz,523
458,101,.5,oz,588
459,101,.375,oz,26
460,101,.375,oz,13
461,101,1,oz,481
462,101,1,,86
463,102,1.5,oz,244
464,102,.25,oz,1078
465,102,.5,oz,241
466,102,.75,oz,129
467,103,1.5,oz,398
468,103,.75,oz,7
469,103,.5,oz,201
470,103,.33,oz,155
471,103,.25,oz,65
472,104,1.5,oz,244
473,104,.5,oz,1076
474,104,.5,oz,907
475,104,.5,oz,667
476,104,.5,oz,936
477,104,2,oz,864
478,104,3,drops,949
479,105,1,oz,653
480,105,1,oz,754
481,105,.5,oz,279
482,105,.5,oz,1076
483,106,1.5,oz,494
484,106,.5,oz,1003
485,106,.25,oz,551
486,106,1,dash,1151
487,106,1,dash,354
488,106,.75,oz,989
489,107,1.5,oz,606
490,107,.75,oz,827
491,107,.5,oz,494
492,107,.5,oz,1173
493,107,.5,oz,194
494,107,.5,oz,1128
495,107,2,dash,9
496,107,2,dash,1142
497,108,1.5,oz,403
498,108,.5,oz,511
499,108,.5,oz,166
500,108,1,splash,763
501,109,1,oz,494
502,109,1,oz,1076
