cocktailId,cocktailName
276,Citrus Quo (Adapted)
277,The Improved Sazerac
278,Stinger
279,Aperitivo Spritz
280,Clearly Bitter
281,Figge bout it
282,The Double Crown
283,On the Fritz
284,Tokyo Tea
285,Hemingway Daiquiri
286,Italian Margarita
287,Fiona Graham
288,Seersucker Sunshine
289,The Greatest Punch on Earth
290,Hopped-Up Mule
291,End of Winter
292,Strike No.3
293,West Bank
294,The Monte Rua
295,Tambourine
296,Karlsson's Mule
297,Dirt Nap
298,Lux Japanese Lemonade
299,Long Island Limoncello Martini
300,Chapman Cobbler
301,And The Cherry On Top Is...
302,Shroud of the Inca
303,Bird on a Wire
304,The Rusty Tack
305,Palermo Breeze
306,Hophead Dirty Martini
307,Margarita
308,Muddled Mission
309,Sade's Taboo
310,Ode to Kinshi
311,Swedish 75
312,The Inside Job
313,Platonic Snuggle
314,Blood & Sand
315,Negroni Sorbetto
316,Pink Pigeon Punch
317,Buenaventura
318,Chippendale Rosetone
319,Culebra
320,The King's Queen
321,Lux Orchard Lemonade
322,Elgin Elixir
323,The Bitter King
324,Final Ward
325,The Brightside
326,B-String
327,Rio De Janeiro Mule
328,SOMA Fizz
329,Masataka's Vision
330,Kir Royale
331,Peruvian Wish (Adapted)
332,Bubbleliciously Delicious
333,Americana Fizz (Layered Cocktail)
334,The Kings Mule
335,White Lady
336,Phineas Flip
337,King's Toddy
338,The Fritz
339,Xmas in Juniper
340,The King's Cranberry Sauce
341,Bunny Poison
342,Knockemdown Key
343,Space Age Pop
344,The Proverb
345,Where's the Orgeat?
346,Redondo Beach
347,Mezcal Witch
348,Dernier Mot
349,Fernet Frappe
350,Tamaulipas Margarita
351,Delicious in Mauritius
352,The Awen
353,Passionate Pigeon 
354,Nigamono
355,Manhattan
356,The Canevari Cocktail
357,Sazerac
358,Cafe Creole
359,Creole Summer
360,Salty Swede
361,The Royal King
362,Wabash Avenue Sour
363,10 to 7
364,Polish Penance
365,The Asterisk
366,Spring Cleanse
367,Prata Punch
368,Peach Batida
369,Mister Gingy
370,Cherry Bark Martinez
371,Stone Fruit Patch V2
372,The Last Wish
373,Pontchartrain Punch
374,Pink Ribbon
375,The King's Winter Cup
376,Frankie and Johnnie
377,You Go Glen Coco
378,The Last Tango
379,Flor de Amaras
380,Short Round
381,Kerouac
382,Smoke On The Dock
383,The French Connection
384,Feingold
385,Kentucky Garrigue
386,The Lover's Quarrel 
387,Playa Matalan (Mezcal Negroni)
388,Nectar of the Amazon
389,Essence No.5 (Adapted)
390,Apricot Lady
391,Buster Crusta
392,Mystique Green (Adapted)
393,Winter Swizzle
394,Luxardo Ice Cream Float
395,Baile de Verano
396,Bay City Shandy
397,Picadilly
398,Corpse Reviver No 1
399,Mauritian Made
400,Nieux Carré
401,Improved Calvados Cocktail
402,Dutch Stories
403,Boomin' Granny
404,The Italian Diplomat
405,Yuzu Sazerac
406,Mayan Decadence
407,Glimpse of Seduction
408,A Mi Manera (My Way) Pisco Punch
409,Nikka Coffey Malt Old Fashioned
410,Bermuda Highball
411,Kentucky Likker
412,Piedra de sol
413,Trip to Jarnac
414,The Dry Cruise
415,Mule Pigeon
416,English Harbour Colada
417,Bacio Romana
418,Flambeed Brandy Alexander
419,Daisy Mae
420,Ginger Drop
421,Nellie Fer' Toddy
422,Land of Valencia
423,Cap't of the Seven Seas
424,Above My Pay Grade
425,Heard It Through The Grapevine
426,Fortune & Glory
427,Nuestra Julep
428,The King's Ginger Spiced Punch
429,See You T'Amaro
430,Pink & Ginger
431,Im(pear)ed Fashioned
432,French Maid
433,Château Montifaud Creation
434,Hibiscus Pisco Sour
435,Abrazo Latino
436,Lonesome George
437,Cut & Rum
438,Creole
439,A Tall Tell
440,Cherry Champagne Cocktail
441,Hanky Panky (Classic)
442,A.Nise
443,Cherries St. James
444,Last Samurai
445,Pina Del Este
446,Primo Carnera
447,The Queen Mother
448,Miyagikyo Kick
449,Asian Affair
450,Pumpkin and Spice
451,Far From the Tree
452,The Mad King
453,Snow Bunny
454,Tahitian Fix
455,Rhapsody in Red
456,The Bossa Nova
457,Almond Brother
458,Stranger in the Alps
459,The Stand By
460,The Tahoe Toddy
461,Peace Daiquiri
462,The Big Picture
463,Match Grip Julep
464,Grey Anchor
465,The Professor
466,The Douglas Tilden
467,No.3 Negroni
468,Nori & Islay
469,Spanish G&T
470,Blind Luck
471,Juniperotivo
472,The King's Mulled Cider
473,The Rickenbacker
474,Cupid's Carrier Pigeon
475,Full of Bologna
476,Pacific Kick
477,Peter Pumpkin
478,Bird is the Word
479,20th Century
480,Croatia Firing Squad
481,Farmer's Gold
482,Lux Shandy
483,Corpse Reviver No.2
484,The Southside
485,Mandrake
486,Merry Sherry Cobbler
487,L.E.S. Is More
488,Sidewinder
489,La Chiara
490,Red Hook
491,International Mistress
492,The Shah's Shandy
493,Raspberry Batida
494,Tequila Sunflare
495,The King's Mulled Wine
496,Holland House
497,Angel's Face
498,The Callas Cocktail
499,The Chief
500,Soleo
501,The Ladybird
502,Day For Night
503,Across The Pond
504,Pink Mojito
505,Le Sang et Sable
506,Bubbly Bird
507,Peachy Keane
508,Prince of Humbugs
509,Flight to Peru
510,Spiced Marmalade
511,Bourbon Crusta
512,Fourth Generation
513,Red Letters
514,Conference
515,Château Montifaud on the Rocks
516,Long Division
517,La Nueva Moda (The New Fashion)
518,Champagne Sidecar
519,3AM
520,Club Med
521,Barbary Coast Bulldog
522,Lux Cherry Sparkler
523,Bird On
524,Chingerito
525,French 33
526,Sahara Glowing Heart
527,Spring Forward
528,1880's Americana
529,Jalapeño Sour
530,Goat Town Swizzle
531,Amaretto Sourball
532,Crooked Kilt
533,The No.3 Winter Cup
534,Naughty Nikka
535,The Silver Cocktail
536,Double Trouble
537,Framboise de Pigeon
