garnishId,garnishName
280,Candied Thyme
281,Brandied Cherries
282,Thai chili piece
283,twisted
284,Tarragon Sprig
285,Orange Slice
286,Lemon wheel
287,Turmeric Toasted Coconut Flakes
288,Cucumber slice
289,Lemon Wheels
290,3 Lemon Wedges
291,Lemon Wheel with Umbrella
292,Ginger snap crumbles
293,Orange
294,Yerba Mate Tea Sachet
295,Pineapple Wedge
296,Arugula
297,Angostura Bitters
298,6 Muddled (pitted) Cherries
299,Fresh pear
300,Mint Leaves
301,Candied Ginger
302,Lemon Verbena Leaf
303,Parasol
304,Fresh Pineapple Chunks
305,Fuji Apple Slice 
306,Lemon Wedge
307,Cinnamon
308,Lemon Peel Oils
309,apple spheres
310,Pinch bergamot tea leaves
311,Sage
312,Dill
313,Celery Stalk
314,Lemon wheels(floating garnish)
315,Whole Star Anise
316,Fresh cherry
